economy,AFG,AFG,AFG,AFG,AUS,AUS,AUS,AUS,BGR,BGR,BGR,BGR,CHE,CHE,CHE,CHE,CHL,CHL,CHL,CHL,ESP,ESP,ESP,ESP,GBR,GBR,GBR,GBR,IND,IND,IND,IND,LUX,LUX,LUX,LUX,PAK,PAK,PAK,PAK
series,EN.ATM.CO2E.GF.KT,EN.ATM.PM25.MC.T1.ZS,NY.GDP.MKTP.PP.CD,SL.UEM.ADVN.ZS,EN.ATM.CO2E.GF.KT,EN.ATM.PM25.MC.T1.ZS,NY.GDP.MKTP.PP.CD,SL.UEM.ADVN.ZS,EN.ATM.CO2E.GF.KT,EN.ATM.PM25.MC.T1.ZS,NY.GDP.MKTP.PP.CD,SL.UEM.ADVN.ZS,EN.ATM.CO2E.GF.KT,EN.ATM.PM25.MC.T1.ZS,NY.GDP.MKTP.PP.CD,SL.UEM.ADVN.ZS,EN.ATM.CO2E.GF.KT,EN.ATM.PM25.MC.T1.ZS,NY.GDP.MKTP.PP.CD,SL.UEM.ADVN.ZS,EN.ATM.CO2E.GF.KT,EN.ATM.PM25.MC.T1.ZS,NY.GDP.MKTP.PP.CD,SL.UEM.ADVN.ZS,EN.ATM.CO2E.GF.KT,EN.ATM.PM25.MC.T1.ZS,NY.GDP.MKTP.PP.CD,SL.UEM.ADVN.ZS,EN.ATM.CO2E.GF.KT,EN.ATM.PM25.MC.T1.ZS,NY.GDP.MKTP.PP.CD,SL.UEM.ADVN.ZS,EN.ATM.CO2E.GF.KT,EN.ATM.PM25.MC.T1.ZS,NY.GDP.MKTP.PP.CD,SL.UEM.ADVN.ZS,EN.ATM.CO2E.GF.KT,EN.ATM.PM25.MC.T1.ZS,NY.GDP.MKTP.PP.CD,SL.UEM.ADVN.ZS
YR1971,440.04,,,,4103.373,,,,568.385,,,,201.685,,,,2493.56,,,,817.741,,,,37256.72,,,,1085.432,,,,62.339,,,,4946.783,,,
YR1972,300.694,,,,5848.865,,,,381.368,,,,256.69,,,,2555.899,,,,1628.148,,,,52702.124,,,,1206.443,,,,267.691,,,,5412.492,,,
YR1973,333.697,,,,6490.59,,,,385.035,,,,348.365,,,,2266.206,,,,2159.863,,,,57040.185,,,,1169.773,,,,502.379,,,,6178.895,,,
YR1974,399.703,,,,7715.368,,,,839.743,,,,737.067,,,,2258.872,,,,2071.855,,,,68217.201,,,,1360.457,,,,671.061,,,,7011.304,,,
YR1975,476.71,,,,8375.428,,,,2225.869,,,,1184.441,,,,2258.872,,,,2541.231,,,,71440.494,,,,1734.491,,,,784.738,,,,7605.358,,,
YR1976,300.694,,,,9266.509,,,,3894.354,,,,1239.446,,,,1598.812,,,,3314.968,,,,74099.069,,,,2295.542,,,,898.415,,,,7990.393,,,
YR1977,513.38,,,,11059.672,,,,4968.785,,,,1415.462,,,,1507.137,,,,3069.279,,,,79075.188,,,,2482.559,,,,946.086,,,,8874.14,,,
YR1978,300.694,,,,13813.589,,,,5298.815,,,,1554.808,,,,913.083,,,,3091.281,,,,81590.75,,,,2742.916,,,,1041.428,,,,9090.493,,,
YR1979,385.035,,,,15298.724,,,,5669.182,,,,1738.158,,,,1419.129,,,,3509.319,,,,89265.781,,,,3032.609,,,,1081.765,,,,9750.553,,,
YR1980,187.017,,,,17685.941,,,,7253.326,,,,1983.847,,,,1433.797,,,,3989.696,,,,88495.711,,,,2489.893,,,,971.755,,,,11543.716,,,
YR1981,304.361,,,,20377.519,,,,7898.718,,,,2141.528,,,,1642.816,,,,4411.401,,,,89680.152,,,,2885.929,,,,744.401,,,,13406.552,,,
YR1982,396.036,,,,22548.383,,,,8756.796,,,,2262.539,,,,1697.821,,,,4792.769,,,,93391.156,,,,4363.73,,,,623.39,,,,13853.926,,,
YR1983,616.056,,,,22808.74,,,,9207.837,,,,2486.226,,,,1804.164,,,,5042.125,,,,97248.84,,,,5247.477,,,,594.054,,,,14587.326,,,
YR1984,931.418,,,,24070.188,,,,9299.512,,,,2772.252,,,,1811.498,,,,4789.102,,,,99691.062,,,,6175.228,,,,638.058,,,,14612.995,,,
YR1985,1191.775,,,,30172.076,,,,8958.481,,,,2904.264,,,,1848.168,,,,5386.823,,,,108029.82,,,,7205.655,,,,693.063,,,,15485.741,,,
YR1986,1202.776,,,,28114.889,,,,9442.525,,,,2973.937,,,,1686.82,,,,5027.457,,,,108356.183,,,,10318.938,,,,693.063,,,,16244.81,,,
YR1987,392.369,,,,28994.969,,,,10791.981,,,,3186.623,,,,1653.817,,,,5489.499,,,,107597.114,,,,12786.829,,,,784.738,,,,16798.527,,,
YR1988,440.04,,,,29710.034,,,,12273.449,,,,3208.625,,,,2203.867,,,,7513.683,,,,105950.631,,,,15218.05,,,,814.074,,,,18261.66,,,
